boundary -2 -1.75 0.0   2.75 1.5 2.0

#block xmin ymin zmin xmax ymax zmax r g b

block 0.0000   0.0000       0       0.6096  0.1270  2.0     150 75   0
block 0.0000   0.1270       0       0.1270  0.6350  2.0     150 75   0
block 0.6096  -0.4826       0       0.7366  0.1270  2.0     150 75   0
block 0.6096  -1.0922       0       1.2192 -0.4826  0.6069    0  0 255
block 0.6096  -1.7018       0       0.7366 -1.0922  2.0     150 75   0
block 1.9558   -0.4826      0       2.0828  0.1270  2.0     150 75   0
block 1.9558   -1.7018 0.6096       2.0828 -0.4826  2.0     150 75   0
block 1.9558   -1.7018      0       2.0828 -1.0922  2       150 75   0
block 2.0828    0.7366      0       2.6924  1.3462  0.609     0  0 255
block 2.0828   -1.7018      0       2.6924 -1.0922  0.6096    0  0 255
block 1.2192    0.7366      0       1.3462  1.3462  2       150 75   0
block -0.8636   -1.0922     0      -0.7366 -0.4826  2       150 75   0
block -0.8636   -0.4826     0      -0.7366  0.1270  2       150 75   0
block -0.8636    0.7366     0      -0.7366  1.3462  2       150 75   0
block -1.3462    0.1270     0      -0.7366  0.7366  0.6096    0  0 255
block -1.4732    0          0      -0.8636  0.1270  2       150 75   0
block -2.0       0          0      -1.4732  0.1270  2       150 75   0


